savedsearch_name,runs,app,search,user
"         | filterdbxsourcetype | summaryindex spool=t uselb=t addtime=t index=""""summary"""" file=""""RMD51f6e00fef357462e_92686715.stash_new"""" name=""""splunk_app_db_connect.apimetricscollector: calculate indexed data volume"""" marker=""""report=\""""dbx_indexed_data_volumes\""""""""""",,,,None
         | stats sum(kb) as sum_kb by series | eval sum_mb=sum_kb/1024 ,,,,None
         | stats sum(kb) as sum_kb by series | eval sum_mb=sum_kb/1024 ,,,,None
         | stats sum(kb) as sum_kb by series | eval sum_mb=sum_kb/1024 ,,,,None
         | stats sum(kb) as sum_kb by series | eval sum_mb=sum_kb/1024 ,,,,None
         | stats sum(kb) as sum_kb by series | eval sum_mb=sum_kb/1024 ,,,,None
         | stats sum(kb) as sum_kb by series | eval sum_mb=sum_kb/1024 ,,,,None
         | stats sum(kb) as sum_kb by series | eval sum_mb=sum_kb/1024 ,,,,None
         | stats sum(kb) as sum_kb by series | eval sum_mb=sum_kb/1024 ,,,,None
         | stats sum(kb) as sum_kb by series | eval sum_mb=sum_kb/1024 ,,,,None
         | stats sum(kb) as sum_kb by series | eval sum_mb=sum_kb/1024 ,,,,None
         | stats sum(kb) as sum_kb by series | eval sum_mb=sum_kb/1024 ,,,,None
_ACCELERATE_DM_splunk_app_db_connect_DB_Connection_Metrics_ACCELERATE_,6075,,"'| summarize tstats=t override=partial manual_rebuilds=f max_time=3600 poll_buckets_until_maxtime=f id=DM_splunk_app_db_connect_DB_Connection_Metrics [  search (index=* OR index=_*) (index=_internal sourcetype=dbx_connection_pool_metrics) | eval nodename = ""Connection_Metrics""| eval short_name_wait=replace(name, "".pool.Wait"", """"), short_name_usage=replace(name, "".pool.Usage"", """") | rename count AS Connection_Metrics.count max AS Connection_Metrics.max median AS Connection_Metrics.median p75 AS Connection_Metrics.p75 p95 AS Connection_Metrics.p95 p99 AS Connection_Metrics.p99 value AS Connection_Metrics.value name AS Connection_Metrics.name short_name_wait AS Connection_Metrics.short_name_wait short_name_usage AS Connection_Metrics.short_name_usage | fields nodename, _time, host, source, sourcetype, Connection_Metrics.count, Connection_Metrics.max, Connection_Metrics.median, Connection_Metrics.p75, Connection_Metrics.p95, Connection_Metrics.p99, Connection_Metrics.value, Connection_Metrics.name, Connection_Metrics.short_name_wait, Connection_Metrics.short_name_usage ]' | summarize tstats=t override=partial manual_rebuilds=f max_time=3600 poll_buckets_until_maxtime=f id=DM_splunk_app_db_connect_DB_Connection_Metrics [  search (index=* OR index=_*) (index=_internal sourcetype=dbx_connection_pool_metrics) | eval nodename = ""Connection_Metrics""| eval short_name_wait=replace(name, "".pool.Wait"", """"), short_name_usage=replace(name, "".pool.Usage"", """") | rename count AS Connection_Metrics.count max AS Connection_Metrics.max median AS Connection_Metrics.median p75 AS Connection_Metrics.p75 p95 AS Connection_Metrics.p95 p99 AS Connection_Metrics.p99 value AS Connection_Metrics.value name AS Connection_Metrics.name short_name_wait AS Connection_Metrics.short_name_wait short_name_usage AS Connection_Metrics.short_name_usage | fields nodename, _time, host, source, sourcetype, Connection_Metrics.count, Connection_Metrics.max, Connection_Metrics.median, Connection_Metrics.p75, Connection_Metrics.p95, Connection_Metrics.p99, Connection_Metrics.value, Connection_Metrics.name, Connection_Metrics.short_name_wait, Connection_Metrics.short_name_usage ]",splunk-system-user
_ACCELERATE_DM_splunk_app_db_connect_DB_Health_ACCELERATE_,2025,,"'| summarize tstats=t override=partial manual_rebuilds=f max_time=3600 poll_buckets_until_maxtime=f id=DM_splunk_app_db_connect_DB_Health [  search (index=* OR index=_*) (sourcetype=dbx_health index=_internal) TRANS_OBJECT_ID=* | eval nodename = ""All_Records""| eval MESSAGE=if(isnotnull(MESSAGE),MESSAGE,""null""), SQL_STATE=if(isnotnull(SQL_STATE),SQL_STATE,""null""), SQL_CODE=if(isnotnull(SQL_CODE),SQL_CODE,""null"") | rename CONNECTION AS All_Records.CONNECTION DATABASE_TYPE AS All_Records.DATABASE_TYPE DB_SERVER AS All_Records.DB_SERVER DB_USER AS All_Records.DB_USER FUNCTION AS All_Records.FUNCTION SQL AS All_Records.SQL STATUS AS All_Records.STATUS TRANS_OBJECT_ID AS All_Records.TRANS_OBJECT_ID DURATION AS All_Records.DURATION ERROR_CODE AS All_Records.ERROR_CODE UPTIME AS All_Records.UPTIME LOGIN_USER AS All_Records.LOGIN_USER DATABASE AS All_Records.DATABASE FREE_MEMORY AS All_Records.FREE_MEMORY MEMORY_USED AS All_Records.MEMORY_USED TOTAL_MEMORY AS All_Records.TOTAL_MEMORY JDBC_USE_SSL AS All_Records.JDBC_USE_SSL STATE AS All_Records.STATE MESSAGE AS All_Records.MESSAGE SQL_STATE AS All_Records.SQL_STATE SQL_CODE AS All_Records.SQL_CODE | fields nodename, _time, host, source, sourcetype, All_Records.CONNECTION, All_Records.DATABASE_TYPE, All_Records.DB_SERVER, All_Records.DB_USER, All_Records.FUNCTION, All_Records.SQL, All_Records.STATUS, All_Records.TRANS_OBJECT_ID, All_Records.DURATION, All_Records.ERROR_CODE, All_Records.UPTIME, All_Records.LOGIN_USER, All_Records.DATABASE, All_Records.FREE_MEMORY, All_Records.MEMORY_USED, All_Records.TOTAL_MEMORY, All_Records.JDBC_USE_SSL, All_Records.STATE, All_Records.MESSAGE, All_Records.SQL_STATE, All_Records.SQL_CODE ]' | summarize tstats=t override=partial manual_rebuilds=f max_time=3600 poll_buckets_until_maxtime=f id=DM_splunk_app_db_connect_DB_Health [  search (index=* OR index=_*) (sourcetype=dbx_health index=_internal) TRANS_OBJECT_ID=* | eval nodename = ""All_Records""| eval MESSAGE=if(isnotnull(MESSAGE),MESSAGE,""null""), SQL_STATE=if(isnotnull(SQL_STATE),SQL_STATE,""null""), SQL_CODE=if(isnotnull(SQL_CODE),SQL_CODE,""null"") | rename CONNECTION AS All_Records.CONNECTION DATABASE_TYPE AS All_Records.DATABASE_TYPE DB_SERVER AS All_Records.DB_SERVER DB_USER AS All_Records.DB_USER FUNCTION AS All_Records.FUNCTION SQL AS All_Records.SQL STATUS AS All_Records.STATUS TRANS_OBJECT_ID AS All_Records.TRANS_OBJECT_ID DURATION AS All_Records.DURATION ERROR_CODE AS All_Records.ERROR_CODE UPTIME AS All_Records.UPTIME LOGIN_USER AS All_Records.LOGIN_USER DATABASE AS All_Records.DATABASE FREE_MEMORY AS All_Records.FREE_MEMORY MEMORY_USED AS All_Records.MEMORY_USED TOTAL_MEMORY AS All_Records.TOTAL_MEMORY JDBC_USE_SSL AS All_Records.JDBC_USE_SSL STATE AS All_Records.STATE MESSAGE AS All_Records.MESSAGE SQL_STATE AS All_Records.SQL_STATE SQL_CODE AS All_Records.SQL_CODE | fields nodename, _time, host, source, sourcetype, All_Records.CONNECTION, All_Records.DATABASE_TYPE, All_Records.DB_SERVER, All_Records.DB_USER, All_Records.FUNCTION, All_Records.SQL, All_Records.STATUS, All_Records.TRANS_OBJECT_ID, All_Records.DURATION, All_Records.ERROR_CODE, All_Records.UPTIME, All_Records.LOGIN_USER, All_Records.DATABASE, All_Records.FREE_MEMORY, All_Records.MEMORY_USED, All_Records.TOTAL_MEMORY, All_Records.JDBC_USE_SSL, All_Records.STATE, All_Records.MESSAGE, All_Records.SQL_STATE, All_Records.SQL_CODE ]",splunk-system-user
_ACCELERATE_DM_splunk_app_db_connect_DB_Health_Audit_ACCELERATE_,6075,,"'| summarize tstats=t override=partial manual_rebuilds=f max_time=3600 poll_buckets_until_maxtime=f id=DM_splunk_app_db_connect_DB_Health_Audit [  search (index=* OR index=_*) (index=_internal sourcetype=dbx_audit) | eval nodename = ""Audit_Record"" | rename connection_name AS Audit_Record.connection_name operation AS Audit_Record.operation sql AS Audit_Record.sql state AS Audit_Record.state message AS Audit_Record.message | fields nodename, _time, host, source, sourcetype, Audit_Record.connection_name, Audit_Record.operation, Audit_Record.sql, Audit_Record.state, Audit_Record.message ]' | summarize tstats=t override=partial manual_rebuilds=f max_time=3600 poll_buckets_until_maxtime=f id=DM_splunk_app_db_connect_DB_Health_Audit [  search (index=* OR index=_*) (index=_internal sourcetype=dbx_audit) | eval nodename = ""Audit_Record"" | rename connection_name AS Audit_Record.connection_name operation AS Audit_Record.operation sql AS Audit_Record.sql state AS Audit_Record.state message AS Audit_Record.message | fields nodename, _time, host, source, sourcetype, Audit_Record.connection_name, Audit_Record.operation, Audit_Record.sql, Audit_Record.state, Audit_Record.message ]",splunk-system-user
_ACCELERATE_DM_splunk_app_db_connect_DBX_Health_Metrics_ACCELERATE_,6075,,"'| summarize tstats=t override=partial manual_rebuilds=f max_time=3600 poll_buckets_until_maxtime=f id=DM_splunk_app_db_connect_DBX_Health_Metrics [  search (index=* OR index=_*) (index=_internal sourcetype=dbx_health_metrics) | eval nodename = ""Health_Metrics"" | rename max AS Health_Metrics.max median AS Health_Metrics.median name AS Health_Metrics.name p75 AS Health_Metrics.p75 p95 AS Health_Metrics.p95 p99 AS Health_Metrics.p99 value AS Health_Metrics.value | fields nodename, _time, host, source, sourcetype, Health_Metrics.max, Health_Metrics.median, Health_Metrics.name, Health_Metrics.p75, Health_Metrics.p95, Health_Metrics.p99, Health_Metrics.value ]' | summarize tstats=t override=partial manual_rebuilds=f max_time=3600 poll_buckets_until_maxtime=f id=DM_splunk_app_db_connect_DBX_Health_Metrics [  search (index=* OR index=_*) (index=_internal sourcetype=dbx_health_metrics) | eval nodename = ""Health_Metrics"" | rename max AS Health_Metrics.max median AS Health_Metrics.median name AS Health_Metrics.name p75 AS Health_Metrics.p75 p95 AS Health_Metrics.p95 p99 AS Health_Metrics.p99 value AS Health_Metrics.value | fields nodename, _time, host, source, sourcetype, Health_Metrics.max, Health_Metrics.median, Health_Metrics.name, Health_Metrics.p75, Health_Metrics.p95, Health_Metrics.p99, Health_Metrics.value ]",splunk-system-user
_ACCELERATE_DM_splunk_app_db_connect_DBX_Job_Metrics_ACCELERATE_,6075,,"'| summarize tstats=t override=partial manual_rebuilds=f max_time=3600 poll_buckets_until_maxtime=f id=DM_splunk_app_db_connect_DBX_Job_Metrics [  search (index=* OR index=_*) (index=_internal sourcetype=dbx_job_metrics) | eval nodename = ""Job_Metrics""| eval hec_upload_mb=hec_upload_bytes/1024/1024 | rename hec_upload_bytes AS Job_Metrics.hec_upload_bytes hec_upload_time AS Job_Metrics.hec_upload_time input_name AS Job_Metrics.input_name connection AS Job_Metrics.connection status AS Job_Metrics.status duration AS Job_Metrics.duration db_read_time AS Job_Metrics.db_read_time hec_record_process_time AS Job_Metrics.hec_record_process_time hec_upload_mb AS Job_Metrics.hec_upload_mb | fields nodename, _time, host, source, sourcetype, Job_Metrics.hec_upload_bytes, Job_Metrics.hec_upload_time, Job_Metrics.input_name, Job_Metrics.connection, Job_Metrics.status, Job_Metrics.duration, Job_Metrics.db_read_time, Job_Metrics.hec_record_process_time, Job_Metrics.hec_upload_mb ]' | summarize tstats=t override=partial manual_rebuilds=f max_time=3600 poll_buckets_until_maxtime=f id=DM_splunk_app_db_connect_DBX_Job_Metrics [  search (index=* OR index=_*) (index=_internal sourcetype=dbx_job_metrics) | eval nodename = ""Job_Metrics""| eval hec_upload_mb=hec_upload_bytes/1024/1024 | rename hec_upload_bytes AS Job_Metrics.hec_upload_bytes hec_upload_time AS Job_Metrics.hec_upload_time input_name AS Job_Metrics.input_name connection AS Job_Metrics.connection status AS Job_Metrics.status duration AS Job_Metrics.duration db_read_time AS Job_Metrics.db_read_time hec_record_process_time AS Job_Metrics.hec_record_process_time hec_upload_mb AS Job_Metrics.hec_upload_mb | fields nodename, _time, host, source, sourcetype, Job_Metrics.hec_upload_bytes, Job_Metrics.hec_upload_time, Job_Metrics.input_name, Job_Metrics.connection, Job_Metrics.status, Job_Metrics.duration, Job_Metrics.db_read_time, Job_Metrics.hec_record_process_time, Job_Metrics.hec_upload_mb ]",splunk-system-user
_phantom_app_hdsi_splunk_malware_events_forwarding,1,phantom,"| savedsearch ""hdsi_phantom_malware_gen""",None
_ScheduledView__ingest_license_usage_report,1,search,| noop,None
_ScheduledView__svc_license_usage_report,1,search,| noop,None
"| search index=_internal sourcetype=splunkd source=*metrics.log splunk_server=""""*"""" group=""""per_sourcetype_thruput"""" ",,,,None
360 by Account,1,InfoSec_App_for_Splunk,"`infosec-indexes` (tag=security OR tag=attack) 
| bucket span=1h@h _time 
| eval tag=mvfilter(match(tag, ""failure"") OR match(tag, ""success"") OR match(tag, ""access"") OR match(tag, ""add"") OR match(tag, ""change"") OR match(tag, ""delete"") OR match(tag, ""error"") OR match(tag, ""misconfiguration"") OR match(tag, ""vulnerability"") OR match(tag, ""attack"") OR match(tag, ""lock"") OR match(tag, ""cleared"") OR match(tag, ""email"")) 
| stats count, dc(user) AS dc by tag, _time 
| eval hours=tostring(-floor((now() - _time)/3600)).""h""
| eval hours=if(hours==""0h"",""now"",hours) 
| sort _time 
| fields hours, tag, count, dc",None
360 by Host,1,InfoSec_App_for_Splunk,"`infosec-indexes` (tag=security OR tag=attack) 
| bucket span=1h@h _time 
| eval tag=mvfilter(match(tag, ""failure"") OR match(tag, ""success"") OR match(tag, ""access"") OR match(tag, ""add"") OR match(tag, ""change"") OR match(tag, ""delete"") OR match(tag, ""error"") OR match(tag, ""misconfiguration"") OR match(tag, ""vulnerability"") OR match(tag, ""attack"") OR match(tag, ""lock"") OR match(tag, ""cleared"") OR match(tag, ""email"")) 
| stats count, dc(host) AS dc by tag, _time 
| eval hours=tostring(-floor((now() - _time)/3600)).""h""
| eval hours=if(hours==""0h"",""now"",hours) 
| sort _time 
| fields hours, tag, count, dc",None
Access - Access App Tracker - Lookup Gen,1,SA-AccessProtection,"| tstats summariesonly=true min(""_time"") as ""firstTime"",max(""_time"") as ""lastTime"" from datamodel=""Authentication"".""Authentication"" where ""Authentication.app""!=""unknown"" by ""Authentication.app"" | rename ""Authentication.app"" as ""app"" | inputlookup append=T ""access_app_tracker"" | stats min(""firstTime"") as ""firstTime"",max(""lastTime"") as ""lastTime"" by ""app"" | outputlookup override_if_empty=false ""access_app_tracker"" | stats count",None
Access - ATL - Audit - AD Adm Account Login Failure Reached Four Times - Rule,1,DA-ESS-AccessProtection,"`GCR_Events_AD` EventCode=4625 Account_Name=TWADM* 
| fields + _time dvc EventCode user  Source_Network_Address user_identity
| lookup GCR_DHCP_OutputList.csv IP_Address as Source_Network_Address output Host_Name 
| fillnull value=unknown Host_Name 
| stats count, values(dvc) as dvc, values(EventCode) as EventCode, values(Host_Name) as Host_Name, values(user_identity) as user_identity by Source_Network_Address,user,_time
| where count>=4
| rename Host_Name as Souce_ComputerName,user as Login_Account",Some
Access - Authentication Failures By Source - Model Gen,1,SA-AccessProtection,"| tstats `summariesonly` count as failure from datamodel=Authentication.Authentication where Authentication.action=""failure"" by Authentication.src,_time span=1h | fit DensityFunction failure partial_fit=true dist=norm into app:failures_by_src_count_1h",None
Access - Authentication Failures By Source Per Day - Model Gen,1,SA-AccessProtection,"| tstats `summariesonly` count as failure from datamodel=Authentication.Authentication where Authentication.action=""failure"" by Authentication.src,_time span=1d | fit DensityFunction failure partial_fit=true dist=norm into app:failures_by_src_count_1d",None
Access - Authentication Tracker - Lookup Gen,1,SA-AccessProtection,"| tstats `summariesonly` count from datamodel=Authentication.Authentication where Authentication.action=success Authentication.dest!=unknown Authentication.user!=unknown by _time,Authentication.dest,Authentication.user span=1s | `drop_dm_object_name(""Authentication"")` | stats min(_time) as firstTime,values(_time) as second2lastTime,max(_time) as lastTime by dest,user | eval dest=lower(dest),user=lower(user),_key=sha1(dest.""|"".user) | dedup _key | lookup access_tracker _key OUTPUTNEW firstTime as lookup_firstTime, second2lastTime as lookup_second2lastTime, lastTime as lookup_lastTime | eval firstTime=min(firstTime, lookup_firstTime),lastTime=max(lastTime, lookup_lastTime), second2lastTime=mvdedup(mvappend(second2lastTime,NULL,lookup_second2lastTime)), lastTime_vals=mvdedup(mvappend(lastTime,NULL,lookup_lastTime)) | eval `get_second2lastTime_meval(second2lastTime,lastTime_vals,lastTime)` | eventstats min(firstTime) as firstTime_user,max(lastTime) as lastTime_user by user  | fields - lastTime_vals, lookup_firstTime, lookup_lastTime, lookup_second2lastTime | outputlookup append=T key_field=_key access_tracker | stats count",None
Access - Authentication Volume Per Day - Model Gen,1,SA-AccessProtection,| tstats `summariesonly` count as current_count from datamodel=Authentication.Authentication by _time span=1d | fit DensityFunction current_count partial_fit=true dist=norm into app:authentication_count_1d,None
Access - Distinct Apps,1,DA-ESS-AccessProtection,| tstats `summariesonly` estdc(Authentication.app) as current_count from datamodel=Authentication.Authentication where earliest=-24h@h latest=+0s | appendcols [| tstats `summariesonly` estdc(Authentication.app) as historical_count from datamodel=Authentication.Authentication where earliest=-48h@h latest=-24h@h] | `get_delta`,
Access - Distinct Destinations,1,DA-ESS-AccessProtection,| tstats `summariesonly` estdc(Authentication.dest) as current_count from datamodel=Authentication.Authentication where earliest=-24h@h latest=+0s | appendcols [| tstats `summariesonly` estdc(Authentication.dest) as historical_count from datamodel=Authentication.Authentication where earliest=-48h@h latest=-24h@h] | `get_delta`,
Access - Distinct Sources,1,DA-ESS-AccessProtection,| tstats `summariesonly` estdc(Authentication.src) as current_count from datamodel=Authentication.Authentication where earliest=-24h@h latest=+0s | appendcols [| tstats `summariesonly` estdc(Authentication.src) as historical_count from datamodel=Authentication.Authentication where earliest=-48h@h latest=-24h@h] | `get_delta`,
Access - Distinct Users,1,DA-ESS-AccessProtection,| tstats `summariesonly` estdc(Authentication.user) as current_count from datamodel=Authentication.Authentication where earliest=-24h@h latest=+0s | appendcols [| tstats `summariesonly` estdc(Authentication.user) as historical_count from datamodel=Authentication.Authentication where earliest=-48h@h latest=-24h@h] | `get_delta`,
Access - Excessive SFTP Login Failure - Rule,1,DA-ESS-AccessProtection,"index=unix sourcetype=syslog host=uslx117 OR host=uslx118 OR host=uslx115 OR host=uslx116 tag=authentication process=sshd 
| eval src=coalesce(src, src_ip) 
| search src!=""167.23.0.0/16"" [|inputlookup p_default_ip_threatfeed | table Name Risk | rename Name as src]
| stats sum(eval(if(tag=""failure"", 1, 0))) AS failure_count, sum(eval(if(tag=""success"", 1, 0))) AS success_count values(user) as user_count by src
| eval user_count=mvcount(user_count)
| where failure_count>=50 AND success_count>=1",some
Access - GCR - AS400 - AS400 Excessive Invalid Password - Rule,1,DA-ESS-AccessProtection,"index=unix-gcr sourcetype=AS400* dvc_event_category=""*PW*"" (target_username=CN* OR target_username=*HK*)
| stats values(source_username) as source_username, count by target_username source_ip, dvc_hostname name dvc_event_category dvc_auto_num1 target_process_name dvc_auto_string1
| lookup networkcidrlookup ip as source_ip output name as source_ip_zone
| where count>=40",some
Access - GCR - Audit - Different AD Account Login Failed On One Or More Machines - Rule,1,DA-ESS-AccessProtection,"index=""output-gcr"" sourcetype=""gcr_audit_alert_outputlist"" Alert_name=""GCR - Audit - AD - Different AD Account Login Failed On One Machine"" 
| eval u_t_time=strptime(Trigger_Time,""%F %T"") 
| eval d_time=now()-u_t_time 
| where d_time<=259200 
| stats values(Name) as Name, values(signature_id) as signature_id, values(user) as user, values(IPList) as IPList, dc(Trigger_Time) as alert_count by Source_Network_Address, Source_Zone_Name src_nt_host
| where alert_count>=1 
| where d_time<=901 
| table time Name signature_id user Source_Network_Address Source_Zone_Name src_nt_host IPList",some
Access - HDSI Audit Failed Login to Exposed Router - Rule,1,SplunkEnterpriseSecuritySuite,"index=ise sourcetype=""cisco:ise:syslog"" Type=Authentication (Remote_Address!=""0.0.0.0"" Remote_Address!=""167.23.0.0/16"" Remote_Address!=""58.248.178.101"" Remote_Address!=""210.21.90.244"" Remote_Address!=""183.62.18.197"" Remote_Address!=""103.9.32.0/22"" Remote_Address!=""103.44.17.130"") NOT FailureReason=""24205 Could not change password to new password"" NOT TWACSV04 NOT (`hdsi_rfc1918(Remote_Address)`) 
| eval RemoteAddress=if(match(Remote_Address,""[a-z\.]+$""),""NULL"",Remote_Address) 
| rex field=_raw ""NOTICE\s+.*\:\s+(?P<AuthStatus>[^\,]+)\,.*"" 
| search NOT ((Address=10.173.69.5 OR Address=10.173.204.25 OR Address=10.172.133.7) AND (UserName=AJADM90851 OR UserName=AJKIWI01 OR UserName=CMNQ981)) 
| where UserName!=""NULL"" AND RemoteAddress!=""NULL"" 
| where UserName!=""NULL"" AND RemoteAddress!=""NULL"" 
| rename Address as Device_IP_Address 
| bucket _time span=15m
| iplocation RemoteAddress
| lookup p_default_ip_risklist.csv Name as RemoteAddress OUTPUT Risk EvidenceDetails
| eval location=City."", "".Region."", "".Country, lat_lon=lat."", "".lon, remote_location=RemoteAddress."" - "".location
| fillnull value=null
| stats count 
values(Action) as Action 
values(AuthStatus) as AuthStatus
values(NetworkDeviceGroups) as NetworkDeviceGroups
values(NetworkDeviceName) as NetworkDeviceName
values(Device_IP_Address) as Device_IP_Address
values(Risk) as rf_Risk
values(EvidenceDetails) as rf_EvidenceDetails
values(location) as location
values(lat_lon) as lat_lon
values(remote_location) AS remote_location
values(_time) as _time
by RemoteAddress
| rename _time as orig_time
| `ctime(orig_time)`",1078
Access - HDSI Distributed Password Spray Detected - Rule,1,SplunkEnterpriseSecuritySuite,"| tstats summariesonly=t count values(sourcetype) as sourcetype from datamodel=Authentication where `hdsi_ext_ips(Authentication.src)` NOT Authentication.src IN (127.0.0.1, 169.254.0.0/16) `hdsi_distributed_password_spray_filter` by Authentication.src Authentication.user Authentication.action 
| `drop_dm_object_name(""Authentication"")` 
| `hdsi_distributed_password_spray_customizations` 
``` Get failure and success stats by src ``` 
| stats dc(eval(if(action=""failure"", user, null()))) as failed_user_count 
    dc(eval(if(action=""success"", user, null()))) as success_user_count 
    sum(eval(if(action=""failure"", count, null()))) as failure_count 
    sum(eval(if(action=""success"", count, null()))) as success_count 
    max(eval(if(action=""failure"", count, null()))) as max_user_failure_count 
    values(sourcetype) as sourcetype 
    by src 
``` Get the spread of failed user counts between sources with the same first two octets ``` 
| rex field=src ""(?<first_and_second_octet>(\d{1,3}\.){2})"" 
| eventstats p25(failed_user_count) as q1_failed_user_count p75(failed_user_count) as q3_failed_user_count by first_and_second_octet 
| eval failed_user_count_spread=q3_failed_user_count-q1_failed_user_count 
``` Re-stats by the first two octets ``` 
| stats sum(failed_user_count) as failed_user_count 
    dc(eval(if(failure_count>0, src, null()))) as failed_src_count 
    sum(failure_count) as failure_count 
    sum(success_user_count) as success_user_count 
    dc(eval(if(success_count>0, src, null()))) as success_src_count 
    sum(success_count) as success_count 
    max(failed_user_count_spread) as failed_user_count_spread 
    max(q1_failed_user_count) as q1_failed_user_count 
    max(q3_failed_user_count) as q3_failed_user_count 
    values(sourcetype) as orig_sourcetype 
    by first_and_second_octet 
``` Look for failures for many different users spread relativly evenly between the different IPs with the same first two octets excludeing where there are also many successes``` 
| where q1_failed_user_count>5 AND failed_src_count>20 AND failed_user_count>25 AND failed_src_count>success_src_count*2 AND failed_user_count>success_user_count*2",1110
